UM_ID_UM,REGION_OFC,SUBREG,PROVINCIA,MEDIA_ALTURA_UM_EST,SUMA_DAP_X_UM,AREA_BASAL_UM_HA,VOL_M3_HA,CANTIDAD_IND_VIVOS_UM,CANTIDAD_IND_VIVOS_HA,PORCENTAJE_COB_3,PORCENTAJE_COB_7,PORCENTAJE_COB_TOTAL,PORCENTAJE_COB_ARBUSTIVA,PORCENTAJE_COB_INFERIOR,MEDIA_ALT_TOCONES,MEDIA_DAB_TOCONES,CANTIDAD_TOCONES_X_UM,CANTIDAD_TOCONES_X_HA,REGENERACION_UM,REGENERACION_HA,LONGITUD_GRILLA,LATITUD_GRILLA,LONGITUD_INSTALACION,LATITUD_INSTALACION,ALTITUD,PENDIENTE_CATEGORIA,EXPOSICION,OTBN_CATEGORIA,FECHA_UM_ANIO,FECHA_UM_MES,TIPO_PAISAJE,SALINIDAD_PRESENCIA,INCENDIOS_RASTROS,PASTOREO_PRESENCIA,GANADO_BOVINO,GANADO_OVINO,GANADO_CAPRINO,GANADO_EQUINO,GANADO_OTRO,GANADO_OTRO_TIPO,EROSION_PRESENCIA,EROSION_FISICA_PRESENCIA,EROSION_EOLICA_PRESENCIA,EROSION_HIDRICA_PRESENCIA,PFNM_PRESENCIA_RESUMEN,PFNM_REGISTRO_1,PFNM_REGISTRO_2,PFNM_REGISTRO_3,PFNM_REGISTRO_4,PFNM_REGISTRO_5,FORMAS_HELECHOS,FORMAS_CACTACEAS,FORMAS_EPIFITAS,FORMAS_BRIOFITAS,FORMAS_LIANAS,FORMAS_ORQUIDEAS,FORMAS_GRAMINEAS,FORMAS_OTRAS,Ley_N1_06,Ley_N2_06,PRESENTA_IND_INVENTARIABLE
30117095,ESP,Distrito del Ñandubay,30,5.33469387755102,5.991092862,11.3862695916442,100.540958,49,1251.8,91.5492957746479,0,91.5492957746479,0,100,NA,NA,0,0,5,1000,-58.777579,-30.284474,-58.7775833333333,-30.2844722222222,71,sin_pendiente,NA,II,2019,5,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Opuntia anacantha,Opuntia anacantha,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30117096,ESP,Distrito del Ñandubay,30,5.5037037037037,4.243929347,6.69951513336759,44.69450085,27,357.9,69.0140845070423,21.1267605633803,88.7323943661972,0,84.5070422535211,19,25.05,2,20,3,600,-58.773711,-30.374434,-58.7736944444444,-30.3744166666667,67,sin_pendiente,NA,sin_categoria,2019,5,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Opuntia anacantha_Araujia odorata,Opuntia anacantha,Araujia odorata,sin registro,sin registro,sin registro,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de Ñandubay-Espinillo,SI
30117099,ESP,Distrito del Ñandubay,30,4.83125,2.730160765,4.45636724618577,24.55305508,16,218.6,32.3943661971831,0,32.3943661971831,8.45070422535211,100,NA,NA,0,0,2,400,-58.762001,-30.644302,-58.762,-30.6443055555556,63,sin_pendiente,NA,sin_categoria,2019,5,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TF,Bosque de Ñandubay-Espinillo,SI
30117100,ESP,Distrito del Ñandubay,30,6.76,2.311137468,5.02807921901531,30.28154693,10,129.3,43.6619718309859,0,43.6619718309859,32.3943661971831,67.6056338028169,NA,NA,0,0,5,1000,-58.758063,-30.734255,-58.7580833333333,-30.73425,58,sin_pendiente,NA,II,2019,7,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,OTF,Bosque en galería,SI
30117125,DEL,Delta del Río Paraná,30,6.82264150943396,12.345261291913,21.1367362970161,248.866341459806,106,2612.9,49.2957746478873,50.7042253521127,71.830985915493,2.8169014084507,22.5352112676056,NA,NA,0,0,1,200,-58.653646,-32.982506,-58.65375,-32.9825833333333,17,sin_pendiente,NA,II,2019,2,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TF,NA,SI
30118118,ESP,Distrito del Ñandubay,30,4.17962962962963,8.488209619,12.3388049553943,80.21240859,54,657.2,56.3380281690141,0,56.3380281690141,0,100,NA,NA,0,0,1,200,-58.578142,-32.349432,-58.5781388888889,-32.3494444444444,35,sin_pendiente,NA,I,2019,2,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30119098,ESP,Distrito del Ñandubay,30,5.02258064516129,4.510063513,8.87277052030316,97.45219396,31,632.3,77.4647887323944,0,77.4647887323944,60.5633802816901,100,NA,NA,0,0,7,1400,-58.558077,-30.547411,-58.5580833333333,-30.5474166666667,64,sin_pendiente,NA,II,2019,5,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30121113,ESP,Distrito del Ñandubay,30,6.27051282051282,11.119955476,19.6732150687478,163.2443278,78,1571.1,49.2957746478873,47.887323943662,85.9154929577465,0,0,NA,NA,0,0,12,2400,-58.283699,-31.88851,-58.2836944444444,-31.8885277777778,13,sin_pendiente,NA,sin_categoria,2019,4,llano,ausencia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,OTF,Bosque en galería,SI
30121118,ESP,Distrito del Ñandubay,30,10.9913793103448,11.518535983,23.2925049487318,158.2299741,57,775.1,16.9014084507042,100,100,12.6760563380282,0,30,29,1,10,12,2400,-58.260486,-32.337873,-58.2604722222222,-32.3378888888889,19,sin_pendiente,NA,sin_categoria,2019,1,llano,ausencia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,OTF,Bosque en galería,SI
30121125,DEL,Delta del Río Paraná,30,6.85217391304348,10.6510377551084,18.3899980933049,160.102064925967,69,1217.4,74.6478873239437,39.4366197183099,95.7746478873239,0,23.943661971831,NA,NA,0,0,1,200,-58.227106,-32.966901,-58.2271111111111,-32.9669444444444,4,sin_pendiente,NA,I,2019,2,llano,ausencia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TF,NA,SI
